Código Imóvel;Logradouro;CEP;Bairro;Loteamento;Nº Imóvel;Lote;Quadra
11899;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA INST 03;N
11900;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;2;M
11901;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA VERDE 07;N
11902;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;200;1;M
11903;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;9;N
11904;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;780;8;N
11905;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;770;7;N
11906;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;6;N
11907;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;5;N
11908;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;4;N
11909;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;3;N
11910;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;2;N
11911;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;1;N
11912;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;227;7;D
11913;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;271;16;E
11914;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S/N;2;4
11915;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S/N;2;4
11916;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;000SN;2;4
11917;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S.N;2;4
11918;AVENIDA SAO PAULO;13318-000;JACARE;BAIRRO DO JACARE;00S/N;2;4
